Identifikationsnr	Typ av objekt	Objekt	Alternativt nummer-Institutionsintern katalog/lista	Titel	Motiv-beskrivning	Avbildade - orter	Namn-Fotograf	Motiv-klassifikation-SAB	Motiv-ämnesord	Referens-Arkivreferenser	Rättigheter
TEKA0115180	Foto	Skioptikonbild med motiv av Amaliengade, i närheten av Kungliga slottet, Köpenhamn. Bilden har förvarats i kartong märkt: Köpenhamn 8. 1908. Text på bild: Amaliengade 1904""	SKC2022	Amaliengade, Köpenhamn	Skioptikonbild med motiv av Amaliengade, i närheten av Kungliga slottet, Köpenhamn.  Bilden har förvarats i kartong märkt: Köpenhamn 8. 1908. Text på bild: Amaliengade 1904""	Köpenhamn (Danmark (DK))	Curman, Sigurd	Arkitektur<Ic>	amaliengade	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0115182	Foto	Skioptikonbild med motiv av Gefionmonumente, Gefionfontänen i Köpenhamn. Bilden har förvarats i kartong märkt: Köpenhamn 8. 1908. Text på bild: Gefionmonumentet 1904"."	SKC2024	Gefionfontänen i Köpenhamn	Skioptikonbild med motiv av Gefionmonumente, Gefionfontänen i Köpenhamn.  Bilden har förvarats i kartong märkt: Köpenhamn 8. 1908. Text på bild: Gefionmonumentet 1904"."	Köpenhamn (Danmark (DK))	Curman, Sigurd	Skulptur<Id>	gefionfontän, gefionmonumente	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0115185	Foto	Skioptikonbild med motiv av Sankta Maria kyrka, Helsingborg. Bilden har förvarats i kartong märkt: Helsingör 3. Esbergårda. Hornbek. Helsingborg. 1904.	SKC2027	Sankta Maria kyrka, Helsingborg	Skioptikonbild med motiv av Sankta Maria kyrka, Helsingborg.  Bilden har förvarats i kartong märkt: Helsingör 3. Esbergårda. Hornbek. Helsingborg. 1904.	Skåne, Helsingborg, Helsingborg (Sverige (SE))	Curman, Sigurd	Byggnader för särskilda ändamål, ex. slott, kyrkor<Icd>	exteriör, kyrka, maria, sankta	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0115188	Foto	Skioptikonbild med motiv från Esberg, Danmark. Cykelbutiken Adler' Cykler. Bilden har förvarats i kartong märkt: Helsingör 3. Esbergårda. Hornbek. Helsingborg. 1904.	SKC2030	Cykelbutiken Adler' Cykler, Esberg, Danmark	Skioptikonbild med motiv från Esberg, Danmark. Cykelbutiken Adler' Cykler.  Bilden har förvarats i kartong märkt: Helsingör 3. Esbergårda. Hornbek. Helsingborg. 1904.	Esbjerg (Danmark (DK))	Curman, Sigurd		affär, butik, cykel, esberg	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0115198	Foto	Skioptikonbild med motiv av torget i Helsingborg, sett från Rådhuset. Bilden har förvarats i kartong märkt: Helsingborg 8. 1908.. Text på bild: Torget från Rådhuset""	SKC2040	Torget i Helsingborg, sett från Rådhuset	Skioptikonbild med motiv av torget i Helsingborg, sett från Rådhuset.  Bilden har förvarats i kartong märkt: Helsingborg 8. 1908.. Text på bild: Torget från Rådhuset""	Skåne, Helsingborg, Helsingborg (Sverige (SE))	Curman, Sigurd	Arkitektur<Ic>	gata, rådhus, stadsvy, torg	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0115199	Foto	Skioptikonbild med motiv av rådhuset i Helsingborg. Bilden har förvarats i kartong märkt: Helsingborg 8. 1908.	SKC2041	Rådhuset i Helsingborg	Skioptikonbild med motiv av rådhuset i Helsingborg.  Bilden har förvarats i kartong märkt: Helsingborg 8. 1908.	Skåne, Helsingborg, Helsingborg (Sverige (SE))	Curman, Sigurd	Byggnader för särskilda ändamål, ex. slott, kyrkor<Icd>	rådhus, stadsvy, torg	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0115200	Foto	Skioptikonbild med motiv av män som lägger gatsten framför rådhuset i Halle. Bilden har förvarats i kartong märkt: Resan 1902.Halle 7. Text på bild: Das Rathhaus""	SKC2042	Stenläggare vid rådhuset i Halle.	Skioptikonbild med motiv av män som lägger gatsten framför rådhuset i Halle.  Bilden har förvarats i kartong märkt: Resan 1902.Halle 7. Text på bild: Das Rathhaus""	Halle, DE (Tyskland)	Curman, Sigurd		arbetare, gatsten, rådhus	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0115201	Foto	Skioptikonbild med motiv av marknad på torget framför rådhuset i Halle. Bilden har förvarats i kartong märkt: Resan 1902. Halle 7. Text på bild: Altes Rathhaus""	SKC2043	Marknad på torget framför rådhuset i Halle	Skioptikonbild med motiv av marknad på torget framför rådhuset i Halle.  Bilden har förvarats i kartong märkt: Resan 1902. Halle 7. Text på bild: Altes Rathhaus""	Halle, DE (Tyskland)	Curman, Sigurd		marknad, rådhus, torg	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0115202	Foto	Skioptikonbild med motiv från marknad i Halle an der Saale. Bilden har förvarats i kartong märkt: Resan 1902.Halle 7. Text på bild: Am markt marieuk"."	SKC2044	Marknad i Halle an der Saale	Skioptikonbild med motiv från marknad i Halle an der Saale.  Bilden har förvarats i kartong märkt: Resan 1902.Halle 7. Text på bild: Am markt marieuk"."	Halle, DE (Tyskland)	Curman, Sigurd		an, der, halle, kyrka, marknad, saale, staty	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0115209	Foto	Skioptikonbild med motiv av hus invid floden Pegnitz, Nürnberg. Bilden har förvarats i kartong märkt: 1904 Cassel. Nurnberg. X.	SKC2051	Hus invid floden Pegnitz, Nürnberg	Skioptikonbild med motiv av hus invid floden Pegnitz, Nürnberg.  Bilden har förvarats i kartong märkt: 1904 Cassel. Nurnberg. X.	Nürnberg (Tyskland (DE))	Curman, Sigurd		flod, hus, pegnitz	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
